name,state,district,type,student_count,website,phone
Satavahana University College,Telangana,Karimnagar,Govt,2200,https://www.satavahana.ac.in,8460208174
Kakatiya Medical College,Telangana,Warangal,Govt,1800,https://www.kmcwarangal.ac.in,08702459033
Warangal Institute of Technology,Telangana,Warangal,Private,2100,https://www.wits.ac.in,08712200500
Govt. Degree College Mahbubnagar,Telangana,Mahbubnagar,Govt,1200,,8888888888
Palamuru University College,Telangana,Mahbubnagar,Govt,1900,https://www.palamuruuniversity.ac.in,08542242800
Govt. Degree College Khammam,Telangana,Khammam,Govt,1500,,8888888888
Telangana University College,Telangana,Nizamabad,Govt,2400,https://www.telanganauniversity.ac.in,08462221350
Lords Institute of Engineering,Telangana,Hyderabad,Private,2200,https://www.lords.ac.in,8197643179
CVR College of Engineering,Telangana,Hyderabad,Private,2600,https://www.cvr.ac.in,08415252800
TKR College of Engineering,Telangana,Hyderabad,Private,1900,https://www.tkrcet.ac.in,04023412666
Govt. Degree College Adilabad,Telangana,Adilabad,Govt,1100,,8888888888
Osmania University Law College,Telangana,Hyderabad,Govt,1400,https://www.osmania.ac.in,04027682364
St. Mary's College for Women,Telangana,Hyderabad,Aided,1200,https://www.stmaryscollegehyd.com,8888888888
Bhavans Vivekananda College,Telangana,Hyderabad,Aided,1600,https://www.bvvcollege.org,04027668985
CMR College of Engineering,Telangana,Hyderabad,Private,2800,https://www.cmrcet.ac.in,04064640000
Vardhaman College of Engineering,Telangana,Hyderabad,Private,3100,https://www.vardhaman.org,08415255444
Aurora Engineering College,Telangana,Hyderabad,Private,2200,https://www.aec.edu.in,8904078708
St. Xavier's College,Maharashtra,Mumbai,Aided,3500,https://www.xaviers.edu,8888888888
Fergusson College,Maharashtra,Pune,Aided,4200,https://www.fergusson.edu,02025671235
Symbiosis College of Arts and Commerce,Maharashtra,Pune,Private,2800,https://www.symbiosiscollege.edu.in,02025652444
Elphinstone College,Maharashtra,Mumbai,Govt,3100,https://www.elphinstone.ac.in,02222041423
Ruparel College,Maharashtra,Mumbai,Aided,2900,https://www.ruparelcollege.org,02224370209
K.J. Somaiya College of Science,Maharashtra,Mumbai,Private,3400,https://kjssc.somaiya.edu,8888888888
COEP Technological University,Maharashtra,Pune,Govt,5600,https://www.coep.org.in,02025507000
Wadia College,Maharashtra,Pune,Aided,1600,https://www.wadiacollege.edu.in,02026163315
Govt. Vidharbha Institute of Science,Maharashtra,Amravati,Govt,2200,,8888888888
ICT Mumbai (UDCT),Maharashtra,Mumbai,Govt,1800,https://www.ictmumbai.edu.in,02233612222
Pune University Dept. of Chemistry,Maharashtra,Pune,Govt,1200,https://www.unipune.ac.in,8888888888
VPM's B N Bandodkar College,Maharashtra,Thane,Aided,2100,https://www.bnbandodkar.edu.in,02225446273
Wilson College,Maharashtra,Mumbai,Aided,3200,https://www.wilsoncollege.edu,02222820661
HR College of Commerce,Maharashtra,Mumbai,Aided,4100,https://www.hrcollege.edu,02222830661
Mithibai College of Arts,Maharashtra,Mumbai,Aided,5200,https://www.mithibai.ac.in,02226608361
KC College,Maharashtra,Mumbai,Aided,3600,https://www.kccollege.edu.in,02222821022
Sophia College for Women,Maharashtra,Mumbai,Aided,2100,https://www.sophiacollegemumbai.com,02222820282
Ramnarain Ruia College,Maharashtra,Mumbai,Aided,3100,https://www.ruiacollege.edu,8460295493
Vaze Kelkar College,Maharashtra,Mumbai,Aided,2800,https://www.vazekelkarcollege.org,8460295493
SP College Pune,Maharashtra,Pune,Govt,4600,https://www.spcollege.ac.in,7383438901
Modern College of Arts Pune,Maharashtra,Pune,Aided,5100,https://www.moderncollegepune.edu.in,9035134492
Abasaheb Garware College,Maharashtra,Pune,Aided,3900,https://www.agcollege.ac.in,02025652285
Brihan Maharashtra College,Maharashtra,Pune,Aided,2700,https://www.bmcc.ac.in,02025534238
Sir Parashurambhau College,Maharashtra,Pune,Aided,3400,https://www.spcollege.ac.in,02024331287
Govt. College of Engineering Pune,Maharashtra,Pune,Govt,4800,https://www.gcoep.ac.in,8888888888
Visvesvaraya NIT Nagpur,Maharashtra,Nagpur,Govt,5400,https://www.vnit.ac.in,07122223230
Govt. Medical College Nagpur,Maharashtra,Nagpur,Govt,1800,https://www.gmcnagpur.com,8888888888
Hislop College,Maharashtra,Nagpur,Aided,3200,https://www.hislopcollege.ac.in,07122533216
Dr. Ambedkar College Nagpur,Maharashtra,Nagpur,Aided,2400,https://www.drambedkarcollege.ac.in,8888888888
Walchand College of Engineering,Maharashtra,Sangli,Aided,3600,https://www.walchandsangli.ac.in,02332247001
Shivaji University College,Maharashtra,Kolhapur,Govt,2800,https://www.unishivaji.ac.in,02312609000
DY Patil College of Engineering,Maharashtra,Pune,Private,3900,https://www.dypvp.edu.in,02067106000
Symbiosis Institute of Technology,Maharashtra,Pune,Private,2600,https://www.sit.edu.in,02028116200
FLAME University,Maharashtra,Pune,Private,1800,https://www.flame.edu.in,02067906000
MIT College of Engineering Pune,Maharashtra,Pune,Private,4200,https://www.mitcoe.edu.in,02030273000
Bharati Vidyapeeth College of Engg,Maharashtra,Mumbai,Private,3100,https://www.bvcoem.edu.in,8511396358
Somaiya Vidyavihar University,Maharashtra,Mumbai,Private,4600,https://www.somaiya.edu,02267283030
NMIMS University Mumbai,Maharashtra,Mumbai,Private,5200,https://www.nmims.edu,02242355555
Kishinchand Chellaram College,Maharashtra,Mumbai,Aided,3800,https://www.kccollege.edu.in,02222820661
Nowrosjee Wadia College,Maharashtra,Pune,Aided,2200,https://www.wadiacollege.edu.in,02026163315
Dharampeth College Nagpur,Maharashtra,Nagpur,Govt,2100,,07122556580
Vidyanagari Arts Commerce College,Maharashtra,Mumbai,Govt,2400,https://www.mu.ac.in,02225198000
Christ University,Karnataka,Bengaluru,Private,6000,https://www.christuniversity.in,08040129100
Bangalore University College,Karnataka,Bengaluru,Govt,3800,https://www.bangaloreuniversity.ac.in,9035866070
Mount Carmel College,Karnataka,Bengaluru,Aided,3200,https://www.mountcarmelcollegeblr.ac.in,08022213237
St. Joseph's College of Commerce,Karnataka,Bengaluru,Aided,2700,https://www.sjcc.edu.in,8888888888
RV College of Engineering,Karnataka,Bengaluru,Private,5500,https://www.rvce.edu.in,08067178000
Mysore University Constituent College,Karnataka,Mysuru,Govt,4100,https://uni-mysore.ac.in,8735076637
Manipal College of Arts,Karnataka,Udupi,Private,2500,https://www.manipal.edu,08202922073
Govt. First Grade College Gulbarga,Karnataka,Kalaburagi,Govt,1900,,8888888888
BMS College of Engineering,Karnataka,Bengaluru,Aided,4700,https://www.bmsce.ac.in,08026622130
Govt. Science College Bengaluru,Karnataka,Bengaluru,Govt,2300,,8888888888
Jyoti Nivas College,Karnataka,Bengaluru,Aided,2800,https://www.jyotinivascollege.edu.in,8401222532
Indian Institute of Science,Karnataka,Bengaluru,Govt,3800,https://www.iisc.ac.in,08022932004
National Law School of India,Karnataka,Bengaluru,Govt,800,https://www.nls.ac.in,08023213160
St. Joseph's College Bengaluru,Karnataka,Bengaluru,Aided,3200,https://www.sjcollege.ac.in,8888888888
Bishop Cotton Women's College,Karnataka,Bengaluru,Aided,2100,https://www.bishopcottonwomenscollege.com,08025201399
PES University,Karnataka,Bengaluru,Private,5600,https://www.pes.edu,08026723500
Ramaiah Institute of Technology,Karnataka,Bengaluru,Aided,4800,https://www.msrit.edu,8197430059
Dayananda Sagar College,Karnataka,Bengaluru,Private,4200,https://www.dayanandasagar.edu,08026612011
New Horizon College of Engineering,Karnataka,Bengaluru,Private,3600,https://www.newhorizonindia.edu,08028477717
REVA University,Karnataka,Bengaluru,Private,4100,https://www.reva.edu.in,08064600000
Alliance University,Karnataka,Bengaluru,Private,3800,https://www.alliance.edu.in,08030938000
Govt. Science College Hassan,Karnataka,Hassan,Govt,1600,,8888888888
Visvesvaraya Technological Univ,Karnataka,Belagavi,Govt,4200,https://www.vtu.ac.in,08312498100
KLE Technological University,Karnataka,Belagavi,Private,3600,https://www.kletech.ac.in,08312498200
SDM College of Engineering,Karnataka,Dharwad,Aided,2800,https://www.sdmcet.ac.in,08362447465
BVB College of Engineering,Karnataka,Belagavi,Aided,3100,https://www.bvbcet.ac.in,08312407500
JSS College of Arts,Karnataka,Mysuru,Aided,2600,https://www.jsscollegemysore.ac.in,08212548318
Maharaja College Mysore,Karnataka,Mysuru,Govt,2900,https://www.maharajacollegemysore.ac.in,9035237383
Yuvaraja College Mysore,Karnataka,Mysuru,Govt,2400,,
Mangalore University College,Karnataka,Mangaluru,Govt,3200,https://www.mangaloreuniversity.ac.in,7383113475
St. Aloysius College Mangalore,Karnataka,Mangaluru,Aided,3600,https://www.staloysius.edu.in,8888888888
Canara College,Karnataka,Mangaluru,Aided,2800,https://www.canaracollege.ac.in,8733964036
Govt. First Grade College Tumkur,Karnataka,Tumakuru,Govt,1800,,8888888888
Siddaganga Institute of Technology,Karnataka,Tumakuru,Private,3400,https://www.sit.ac.in,08162273547
NMKRV College for Women,Karnataka,Bengaluru,Aided,2600,https://www.nmkrv.ac.in,08026761222
Seshadripuram College,Karnataka,Bengaluru,Aided,3100,https://www.seshadripuram.edu.in,08023449244
CMR Institute of Technology,Karnataka,Bengaluru,Private,3200,https://www.cmrit.ac.in,08028524030
Global Academy of Technology,Karnataka,Bengaluru,Private,2800,https://www.gat.ac.in,8511894358
Nitte University College,Karnataka,Mangaluru,Private,2200,https://www.nitte.edu.in,7383113475
East West College of Engineering,Karnataka,Bengaluru,Private,2400,https://www.ewit.edu,08028608252
Christ Academy Institute,Karnataka,Bengaluru,Aided,1900,https://www.christacademy.ac.in,9980683270
Miranda House,Delhi,Delhi,Govt,2900,https://www.mirandahouse.ac.in,01127666983
St. Stephen's College,Delhi,Delhi,Aided,1600,https://www.ststephens.edu,8888888888
Lady Shri Ram College for Women,Delhi,Delhi,Govt,3100,https://www.lsr.edu.in,01124111390
Kirori Mal College,Delhi,Delhi,Govt,4200,https://www.kmc.ac.in,8147151090
Hindu College,Delhi,Delhi,Govt,2600,https://www.hinducollege.ac.in,01127667184
Hansraj College,Delhi,Delhi,Govt,3000,https://www.hansrajcollege.ac.in,01127667747
Ramjas College,Delhi,Delhi,Govt,3500,https://www.ramjascollege.edu.in,8971836926
Indraprastha College for Women,Delhi,Delhi,Govt,2100,https://ipcollege.ac.in,7411787155
Gargi College,Delhi,Delhi,Govt,2800,https://gargicollege.in,01126494690
Jesus and Mary College,Delhi,Delhi,Aided,1400,https://jesusandmarycollege.ac.in,01126881971
Dyal Singh College,Delhi,Delhi,Govt,3200,https://www.dsc.du.ac.in,01127667001
Daulat Ram College,Delhi,Delhi,Govt,2800,https://www.dr.du.ac.in,7795671366
Sri Venkateswara College,Delhi,Delhi,Govt,3600,https://www.svc.ac.in,01124111399
Atma Ram Sanatan Dharma College,Delhi,Delhi,Govt,4100,https://www.arsd.ac.in,8460480034
Motilal Nehru College,Delhi,Delhi,Govt,3400,https://www.mlncollege.ac.in,01126115054
Shyam Lal College,Delhi,Delhi,Govt,3100,https://www.shyamlal.du.ac.in,01122326139
Janki Devi Memorial College,Delhi,Delhi,Govt,2600,https://www.jdmcollege.ac.in,8460226211
Maitreyi College,Delhi,Delhi,Govt,2400,https://www.maitreyi.ac.in,01126110942
Maharaja Agrasen College,Delhi,Delhi,Govt,3800,https://www.mac.du.ac.in,01127243022
Acharya Narendra Dev College,Delhi,Delhi,Govt,2900,https://www.andc.ac.in,01122553950
Shaheed Bhagat Singh College,Delhi,Delhi,Govt,3200,https://www.sbsc.ac.in,8460405970
Keshav Mahavidyalaya,Delhi,Delhi,Govt,2100,https://www.keshav.du.ac.in,01127662609
Sri Aurobindo College,Delhi,Delhi,Govt,2800,https://www.aurobindo.du.ac.in,01126521408
Bhim Rao Ambedkar College,Delhi,Delhi,Govt,3100,https://www.brac.ac.in,01122385950
Kalindi College,Delhi,Delhi,Govt,2900,https://www.kalindi.du.ac.in,01126848601
Lakshmibai College,Delhi,Delhi,Govt,2400,https://www.lakshmibai.ac.in,01125093001
Delhi College of Arts and Commerce,Delhi,Delhi,Govt,3400,https://www.dcac.du.ac.in,7947158024
Jamia Millia Islamia,Delhi,Delhi,Govt,8600,https://www.jmi.ac.in,01126985507
Jawaharlal Nehru University,Delhi,Delhi,Govt,6200,https://www.jnu.ac.in,01126742676
Delhi Technological University,Delhi,Delhi,Govt,5800,https://www.dtu.ac.in,01127871018
Indraprastha Institute of IT,Delhi,Delhi,Govt,3200,https://www.iiitd.ac.in,7411787155
Amity University Delhi,Delhi,Delhi,Private,9400,https://www.amity.edu,01204392000
Guru Gobind Singh Indraprastha Uni,Delhi,Delhi,Govt,7200,https://www.ipu.ac.in,01125302173
Lady Irwin College,Delhi,Delhi,Govt,1800,https://www.ladyirwin.edu.in,01123388021
College of Vocational Studies,Delhi,Delhi,Govt,2600,https://www.cvs.du.ac.in,01126161200
Zakir Husain Delhi College,Delhi,Delhi,Govt,3100,https://www.zhdc.ac.in,01123239021
Satyawati College,Delhi,Delhi,Govt,2800,https://www.satyawati.du.ac.in,01127284067
Vivekananda College,Delhi,Delhi,Govt,2600,https://www.vivekananddcollege.ac.in,9054442408
Shivaji College Delhi,Delhi,Delhi,Govt,2900,https://www.shivaji.du.ac.in,01125101218
Loyola College,Tamil Nadu,Chennai,Aided,5200,https://www.loyolacollege.edu,04428175742
Presidency College,Tamil Nadu,Chennai,Govt,3100,https://www.presidencychennai.ac.in,8128587791
Stella Maris College,Tamil Nadu,Chennai,Aided,3600,https://www.stellamariscollege.edu.in,04428251948
PSG College of Arts and Science,Tamil Nadu,Coimbatore,Aided,4800,https://www.psgcas.ac.in,04222572177
Govt. Arts College,Tamil Nadu,Coimbatore,Govt,2400,,8888888888
Madras Christian College,Tamil Nadu,Chennai,Aided,5900,https://www.mcc.edu.in,9606241461
Vellore Institute of Technology,Tamil Nadu,Vellore,Private,20000,https://www.vit.ac.in,04162202020
Annamalai University Constituent Coll,Tamil Nadu,Cuddalore,Govt,6200,https://www.annamalaiuniversity.ac.in,04144238343
Sri Ramakrishna College of Arts,Tamil Nadu,Coimbatore,Private,2900,https://www.srcas.ac.in,04222543881
Womens Christian College,Tamil Nadu,Chennai,Aided,2700,https://www.wcc.edu.in,9606241461
IIT Madras,Tamil Nadu,Chennai,Govt,8200,https://www.iitm.ac.in,04422578000
Anna University,Tamil Nadu,Chennai,Govt,6800,https://www.annauniv.edu,04422357004
University of Madras,Tamil Nadu,Chennai,Govt,4200,https://www.unom.ac.in,04425399422
Pachaiyappa's College,Tamil Nadu,Chennai,Aided,4600,https://www.pachaiyappascollege.org,04426210082
Government Arts College Chennai,Tamil Nadu,Chennai,Govt,3200,https://www.gac.ac.in,04425362064
Queen Mary's College,Tamil Nadu,Chennai,Govt,2800,https://www.qmc.ac.in,04428362010
Lady Doak College,Tamil Nadu,Madurai,Aided,3100,https://www.ladydoakcollege.edu.in,04522530031
American College Madurai,Tamil Nadu,Madurai,Aided,4200,https://www.americancollege.edu.in,7383444879
Madurai Kamaraj University College,Tamil Nadu,Madurai,Govt,3600,https://www.mkuniversity.ac.in,04522458471
Thiagarajar College,Tamil Nadu,Madurai,Aided,3400,https://www.tcarts.ac.in,04522312375
Sri Krishna College of Engineering,Tamil Nadu,Coimbatore,Private,3800,https://www.skcet.ac.in,04222615510
Kumaraguru College of Technology,Tamil Nadu,Coimbatore,Private,4100,https://www.kct.ac.in,04222669401
Kongu Engineering College,Tamil Nadu,Erode,Aided,3600,https://www.kongu.edu,04294226585
Salem College,Tamil Nadu,Salem,Govt,2400,https://www.salemcollege.ac.in,04272232501
Periyar University College,Tamil Nadu,Salem,Govt,2100,https://www.periyaruniversity.ac.in,04272345766
Bishop Heber College,Tamil Nadu,Tiruchirappalli,Aided,3200,https://www.bishophebercollegetry.ac.in,04312200500
National College Tiruchirappalli,Tamil Nadu,Tiruchirappalli,Aided,2800,https://www.nationalcollegetrichy.ac.in,04312460966
Bharathidasan University College,Tamil Nadu,Tiruchirappalli,Govt,2600,https://www.bdu.ac.in,04312407071
Jamal Mohamed College,Tamil Nadu,Tiruchirappalli,Aided,3100,https://www.jmc.edu.in,8511408530
Holy Cross College,Tamil Nadu,Tiruchirappalli,Aided,2900,https://www.holycrosstry.edu.in,8123769187
Sathyabama Institute of Science,Tamil Nadu,Chennai,Private,6800,https://www.sathyabama.ac.in,7383413520
Saveetha Engineering College,Tamil Nadu,Chennai,Private,4200,https://www.saveetha.ac.in,04426680025
Sri Sairam Engineering College,Tamil Nadu,Chennai,Private,3800,https://www.sairam.edu.in,04422251000
Vel Tech University,Tamil Nadu,Chennai,Private,3200,https://www.veltech.edu.in,04426840404
SSN College of Engineering,Tamil Nadu,Chennai,Private,4400,https://www.ssn.edu.in,04427469700
Ethiraj College for Women,Tamil Nadu,Chennai,Aided,2800,https://www.ethirajcollege.edu.in,04428272835
Dr. Ambedkar Govt. Arts College,Tamil Nadu,Chennai,Govt,2400,https://www.ambedkararts.ac.in,8888888888
Govt. Arts College Nandanam,Tamil Nadu,Chennai,Govt,2200,,8888888888
Rajalakshmi Engineering College,Tamil Nadu,Chennai,Private,3600,https://www.rajalakshmi.org,04437181001
Govt. Arts College Coimbatore,Tamil Nadu,Coimbatore,Govt,2600,,8888888888
