name,principal_name,email,website
Muffakham Jah College of Engg,"AWARD and HONORARY FELLOWSHIP, Basheer Ahmed, SURAMPUDI SRINIVASA RAO, as Institute of Technology, ess Mount Pleasant, ess of the Institution, essional Ethics, essional advancement and bench, essor Ashfaque Jafari, essor Associate Professor Assistant, essor Male Female Others, essor for LUC, iven Web Development Workshop, one Centre of Excellence","alumni@mjcollege.ac.in, placements@mjcollege.ac.in, principal@mjcollege.ac.in",https://www.mjcollege.ac.in
Govt. City College,"ESSOR ABU SALEH MOHAMMAD, Mrs Baishali Singha Principal, Ratnakar Pani, Situated in the prime, Vice Chancellor PROFESSOR JASHIM, ama Club Debate Club, as the chair person, staff and students",,nan
Hyderabad Public School,"After finishing his graduation, Profile From The Principal, are very caring and, en Grow Better, ess With Pin Code, ile of the Principal, inking Water","admissions@hieschool.edu.in, info@svishyd.edu.in",https://www.hps.edu.in
Narayana Junior College,"Narayana hails from Haranathapuram, Phone Number Email Address, Praveena Vijayan is the, Sindhura Narayana, Sindhura Narayana firmly believes, Sindhura has introduced groundbreaking, ess Melange Towers, essional post, iven by, of Narayana Educational Institutions, of the Narayana Group, of the institution, ound grasp of the",,https://www.narayanagroup.com
Sri Chaitanya Junior College,"Aryak Guha, Atanu Mitra Sri Rupam, Banidipa Mandal Biswas, Biswanath Sarkar Teachers, Chinmay Biswas In, Chinmay Biswas Teachers, Deeptanil Ray, Dibyendu Panigrahi IQAC Co, Indramohan Mandal Principal Dr, Indramohan Mandal Secretary Dr, Iswar Akhuli, Manik Bhakta In, Mrinmay Mallick, Paromita Roy Sri Jadav, Partha Biswas, Pradip Kr, Raja Basu, Samrendranath Chatterjee Dr, Sanchayita Debnath Teachers, Sangita Mallik Lahiri, Sanjita Mallik Lahiri, Sharmili Mukherjee, Sharmili Mukherjee Chakravarty About, Snigdhadip Chakraborty, THE INSTITUTION AND OTHER, ess Plot No, essional Courses UPSC Services",,https://www.srichaitanya.net
Osmania Medical College,"Margaret Voila, Microbiology Phone, Narajuna Chary, Syed Ahmed Mohiuddin, Syed Imamuddin, essor and Head, essor and Head of, essor of Anatomy, essor of Anatomy Ph, essor of Community Medicine, essor of Pathology Ph, essor of Pharmacology, madam Dr, of Biochemistry Ph, of Pharmacology Ph, of SPM Ph, of this esteemed institute",_hyd-ts@nic.in,https://osmaniamedicalcollege.org
Deccan College of Medical Sciences,"Aleem Uddin Naveed Medical, Anjum Sultana Khatoon, Ashfaq Hasan Principal, Ashfaq Hasan Professor, Garoor Krishna Narayan Prasad, Mazharuddin Ali, Mohammed Abdul Majid Adil, Mohammed Aleemuddin Naveed Professor, Mutlaya Gopal Kishan Professor, Rajesh Neeluri, Syeda Amtul Yafe Asst, Syeda Amtul Yafe Awesome, ess of this MBBS, essor of Community Medicine, essor of General Medicine",,https://dcmshyderabad.webnode.in
Hyderabad Institute of Technology,"IIT Hyderabad Dear Friends, IIT Hyderabad Innovations, Ruchir Shrivastava, and Professor of ECE, ess for communication, essal Alumni Student Complaint, essional platform to enhance, ile Prof, one Technology Facebook","ao@mgit.ac.in, principal@mgit.ac.in, principal@mist.ac.in",https://www.hitam.org
Chaitanya Bharathi Institute,"ESSAL CELL ESTABLISHMENT, Shirisha Deshpande, ess Chaitanya Bharathi Institute, ess of the Institution, ess of the Principal, ess of the Society, essing the grievances of","_enquiry@cbit.ac.in, info@cbit.edu.in, principal@cbit.ac.in, sreedhar.cse@cbit.edu.in, tpo@cbit.edu.in",https://www.cbit.ac.in
Gokaraju Rangaraju Inst of Engg,"Ch Mallikarjuna Rao, IIT Delhi, Jitendarnath Mungara, Mohammed Hussain, Praveen Jugge Principal Flat, Surbhi Gupta, ess Dr, essal Mechanism An online, essal portal is established, the Institution","_civil@griet.ac.in, doe@griet.ac.in, info@griet.ac.in",https://www.griet.ac.in
KG Reddy College of Engineering,"The Insititute Is Principal, Udaya Sree Kakrla, ess Beside Moinabad Police, ess Of The Institute, essional challenges with confidence, essional journey, essionals and innovators, ives excellence across academics",principal@kgr.ac.in,https://www.kgr.ac.in
Mahatma Gandhi Institute of Technology,"Ashok Kumar Sharma, Fauzia Siddiqui, Pawan Chandak, Raj Kumar, Sundara Murthy Krishnan, aMohan Reddy, aMohan Reddy Principal, aMohan Reddy View Post, eam destination for the, ess Name of the, essor of Mechanical Engineering, photo It is my","ao@mgit.ac.in, coe@mgit.ac.in, principal@mgit.ac.in, secretary@mist.ac.in",https://www.mgit.ac.in
Sreenidhi Institute of Science,"Challa Srinivas Rao Dr, SNIST Advisors Dr, SNIST Dr, Shakeel Ahmad Joint Secretary, Sreenidhi Institute of Science, ess including Telephone, ess of the Society, ess of the Trust, ess of the Vice, essionals and non, essor of English, it organization founded by","info@sreenidhi.edu.in, mramesh@sreenidhi.edu.in, principal@sreenidhi.edu.in",https://www.sreenidhi.edu.in
Govt. Degree College Nizamabad,"Abdul Quddus, Basheer Ahmad, Bashir Ahmed drbashirahmed, Farrah Fatima, Farzana Begum, Fateh Mohd fmabbasi, Javed Ahmed Tramboo, Kamaljeet Singh, Malik Raihan Ahmad, Mohammad Rafique Abdul Sattar, Mushtaq Ahmad lone, Qumar Rabani, Qutubuddin Sarshar, Raj Kumar Gupta guptarajkumar, Syed Aleem Qureshi, Tariq Ahmed Chalkoo, Tariq Hussain Tamkeen, Tehseen Abas Khan, Venugopala Swamy, Yasar Ahmed hmadyasar, Zameer Ahmed Mirza, ate of Distance Education",cdoeadm2025@manuu.edu.in,nan
Govt. Degree College Karimnagar,"Aftab Alam Baig, Ajaz Ahmed, Akhtar Hussain, Mohd Latif Mir, Mushtaq Ahmad lone, Secretary to Govt, Shaik Mahaboob Basha, Tariq Ahmed Chalkoo, Tariq Hussain Tamkeen, Wajada Ishrat, Zamir Ahmed Mirza, opouts and to those","cdoeadm2025@manuu.edu.in, prl-gdc-asf-ce@telangana.gov.in, prl-gdc-kznr-ce@telangana.gov.in",nan
Satavahana University College,"Ravi Kumar Jasti, Sujatha Surepally, ession with State Best, ile Almanacs Exam Results, it organizations for the",coe@satavahana.ac.in,https://www.satavahana.ac.in
Kakatiya Medical College,"Chemistry Dept, Civil Dept, English Dept, Mathematics Dept, Physics Dept, Sandhya Sunkaraneni, usham pavitramiha vidyate","director.pgadmissions@kakatiya.ac.in, registrar@kakatiya.ac.in, vc@kakatiya.ac.in",https://www.kmcwarangal.ac.in
Warangal Institute of Technology,"Bala Prakash Killi, Balaprakasa Rao Killi as, Bidyadhar Subudhi, Chilukoti Hari Krishna Assistant, Eiji Oki of Kyoto, Mahamad Nabab Alam Assistant, Narayanarao Bhogapurapu, Priyanka Chawla Associate Professor, Ramya Araga Assistant Professor, Sangharatna Godboley Assistant Professor, Sanjaya Kumar Panda has, Srinagalakshmi Nammi Assistant Professor, essal Anti Ragging ICC, essor Gr, essor of ECE","_nitwsiemenscoe@nitw.ac.in, abhijeetp@nitw.ac.in, ashishp@nitw.ac.in, bharats@nitw.ac.in, bokkasadanandam@nitw.ac.in, chk@nitw.ac.in, gajbhiyec@nitw.ac.in, ilaiahgaja@nitw.ac.in, kasubojulas@nitw.ac.in, khaprep@nitw.ac.in, kjayaraj@nitw.ac.in, koyyaa@nitw.ac.in, kumaraswamyb@nitw.ac.in, mannep@nitw.ac.in, mnalam@nitw.ac.in, nkrishnaswamy@nitw.ac.in, principal@bitswgl.ac.in, principal@kitsw.ac.in, ramyaaraga@nitw.ac.in, sanghu@nitw.ac.in, sathishv@nitw.ac.in",https://www.wits.ac.in
Govt. Degree College Mahbubnagar,"Mr Dr, Ramakrishna More Arts, Tanmoy Pandurang Vinod Basak, adhri kothagudem Hamirpur Odisha, anath Tagore, ess Sri nagar, ess for Communication, ile Name with Designation, iven by our guiding",,nan
Palamuru University College,"Baidyanath Labh Vice Chancellor, Basheer Ahmed, IQAC SC, PG Centres, ate of Academic Audit, ess Vice, essor of Physics, ile Vision, of Academic Audit Cell","s@crsu.ac.in, vc@crsu.ac.in, vc@nnm.ac.in",https://www.palamuruuniversity.ac.in
Govt. Degree College Khammam,"RJC Degree, Reddyvari Jayachandra Reddy, eams and goals, ess Name of the, ess Year of Estt",,nan
Telangana University College,"Alumni Association, Atthar Sultana, Career Guidance, Centre for Distance Education, Competitive Examination Cell, Cultural Activities, Grievance Cell, Haritha Lakkaraju, Jetling Yellosa, Kasula Kiranmayee, Khyser Mohammed, Kiran Rathod, Legal Aid Clinic, Legal Cell, Mahender Aileni, Saritha Pitla, Veerabhadram Bhukya, Women Cell, ess Dichpally","principaltusc@telanganauniversity.ac.in, principalucass@telanganauniversity.ac.in, principaluce@telanganauniversity.ac.in, principalucl@telanganauniversity.ac.in, pro@telanganauniversity.ac.in, registrar@telanganauniversity.ac.in, tu@telanganauniversity.ac.in, turticell@telanganauniversity.ac.in",https://www.telanganauniversity.ac.in
Lords Institute of Engineering,"SYED AZAM PASHA QUADRI, Syed Azam Pasha Quadri, and Controller of Examination, essor and Head of","abdulrais@lords.ac.in, deanacademics@lords.ac.in, hodmech@lords.ac.in, principal@lords.ac.in",https://www.lords.ac.in
CVR College of Engineering,"Rameshwar Rao Professor, essor and Head of, ives and Control","g.sreelakshmi@cvr.ac.in, m.rajitha@cvr.ac.in, official-dakkaobulesh@cvr.ac.in",https://www.cvr.ac.in
TKR College of Engineering,"Girish Kumar Mekala Date, KMV Madan Kumar, Teegala Krishna Reddy Engineering, akiran Reddy, ess Teegala Krishna Reddy, ile of Vice Chancellor, of TKRCET and an","coe@tkrcet.ac.in, deanacademics@tkrcet.ac.in, info@tkrcet.ac.in, principal@tkrcet.ac.in",https://www.tkrcet.ac.in
Govt. Degree College Adilabad,"Ajaz Ahmed, Akhtar Hussain, Mohd Latif Mir, Mushtaq Ahmad lone, Tariq Ahmed Chalkoo, Tariq Hussain Tamkeen, Zamir Ahmed Mirza, ess Name of the, ess Year of Estt","prl-gdc-adb-ce@telangana.gov.in, prl-gdc-asf-ce@telangana.gov.in, prl-gdc-blmp-ce@telangana.gov.in, prl-gdc-icd-ce@telangana.gov.in, prl-gdc-kznr-ce@telangana.gov.in, prl-gdcw-adb-ce@telangana.gov.in",nan
Osmania University Law College,,"lawcollege@osmania.ac.in, vc@osmania.ac.in",https://www.osmania.ac.in
St. Mary's College for Women,"Manu Oommen Phone, Regional Development cmueller, Seema Panicker Help desk, Seema Panicker Phone, essionals and achievers who, of Advancement Operations lyeager, of Alumnae Relations McKenna, of Alumnae Relations and, of Annual Giving Communications, of Annual Giving and, of Annual Giving nstroup, of Corporate, of Gift Planning lhenzel, of Special Events Kathy",,https://www.stmaryscollegehyd.com
Bhavans Vivekananda College,"Chitranjan Sharma, GSVRK Choudary, Higher Education, Maruti ILno, PSN Reddy Retd, Ranjith Ramadurai Professor, Seema Ghosh Head, Sunil Somani",bvc@bhavansvc.ac.in,https://www.bvvcollege.org
CMR College of Engineering,"Chandrasekhara Rao Baru Mob, Ramamurthy continues to inspire, To The Principals Sir, ashekhar Reddy Mob, ess Name of the, essional background in Architecture, essor of Mechanical Engineering","admissions@cmr.edu.in, ao@cmrec.ac.in, exams@cmrec.ac.in, flice.sat@manuu.edu.in, info@cmr.edu.in, principal@cmnlonllne.ac.in, principal@cmrec.ac.in",https://www.cmrcet.ac.in
Vardhaman College of Engineering,"JVR Ravindra, JVR Ravindra Mob, Palla Rajeshwar Reddy Mob, Praveen Oggu HOD, and Professor of ECE, ess Name of the","dap@jntuh.ac.in, principal@aceec.ac.in, principal@tkrcet.ac.in, principal@vaagdevi.edu.in, principalvjit@vjit.ac.in",https://www.vardhaman.org
Aurora Engineering College,"Bommakanti Veeranna Exact Designation, Bommakanti Veeranna Mob, Handbook Administration, Jakka Venkatesh Mob, Kandimalla Venkateswarlu Mob, MS Hema Mob, Mandadi Sreedhar Reddy Mob, Nimmatoori Ramesh Babu Mob, Pandari Pande Ex, Phone number with STDcode, ess Conact Us Conact, ess Name of the, ess of the organization","accounts@aurora.ac.in, admin@atri.edu.in, admin@aurora.ac.in, examination@aurora.ac.in, info@aurora.ac.in, kcs@aurora.ac.in, office@aurora.ac.in, principal@asti.edu.in, principal@aurora.ac.in",https://www.aec.edu.in
St. Xavier's College,"Arokya Swamy SJ, Madhu Sharma, Rashmi Jain, Raymond Cherubin SJ, Sebastian is deeply committed, Sophia Girls, St Xavier, Vimlesh Soni, Xavier Institute of Management, ess Veli, ile SC, ives us to explore",info@sxca.edu.in,https://www.xaviers.edu
Fergusson College,"Shriram Lagoo, essional physiotherapy, essional world, essors for inducing me",,https://www.fergusson.edu
Symbiosis College of Arts and Commerce,"Alpana Vaidya, Anil Adagale, Asmita Dani, Chandrani Chatterjee, Deepak Karandikar, Desai serves as Head, Gulshan Gidwani, Jayram Gadekar, Jini Jacob, Manasi Desai, Manasi Phadke, Neelofar Raina, Nilesh Waghmare, Sadanand Bhosale, Santosh Marwadikumbhar, Sarika More, Sharayu Bhakare, Sharayu Bhakare is an, Sharayu has led numerous, Sheena Mathews, Surabhi Jain, Tessy Thadathil, Yogini Chiplunkar, Zakira Shaikh, Zakira Shaikh has more, ashekhar Phule, ess urban climate challenges, essor in Commerce and, essor sharayu, the Centre for Innovation","contact@symbiosiscollege.edu.in, library@symbiosiscollege.edu.in, sarika.more@symbiosiscollege.edu.in, shaikh.zakira@symbiosiscollege.edu.in, sharayu.bhakare@symbiosiscollege.edu.in",https://www.symbiosiscollege.edu.in
Elphinstone College,"Ajay Chaudhari, Anamika Kadam, Bhavana Patole, Examination And Evaluation, Knowledge Resource Centre Dr, Madhuri Vasant Kagalkar, Madhuri Vasant Kagalkar is, Shriniwas Dhure Secondary Training, Student Development Shri, Suvidhyaa Sarvankar, Suvidyaa Sarvankar","admission@iscm.ac.in, info@elphinstone.ac.in, info@iscm.ac.in",https://www.elphinstone.ac.in
Ruparel College,"Bharat Tupere Deepti Mujumdar, Homl Bhabha Statlo UniverGity, Lata Menon, Rehana Vadgama deeptim, Sachin Labade, Sangoota Kongro, Sonall Rodo AGsoclalo Prolossor, Sushila Vijaykumar Dr Kamlakar, Sushlla Vijaykumar Associate Profossor, ese arch Re, essor MCA, oid ravinimavat, ound knowledge for our","bhaumikshah.mca@charusat.ac.in, kaushalgor.mca@charusat.ac.in, principal.cmpica@charusat.ac.in, ravinimavat.mca@charusat.ac.in, roneshgangavani.mca@charusat.ac.in",https://www.ruparelcollege.org
K.J. Somaiya College of Science,"Ajit Sapre, Dietmar Hueglin, Moses Kolet, Pradnya Prabhu, Pradnya Prabhu Principal, Rohidas Kale, Sendurai Mani, Smita Paranjape, Veera Gupta, Virendra Kumar Gupta, also reserves the right, reserves the right to",,https://kjssc.somaiya.edu
COEP Technological University,"Bhupati Kannur, Center of Excellence in, Center of Excellence of, Centre of Excellences, of Board of Examinations, of Board of Research, of Board of Students","abl.mfg@coeptech.ac.in, bahirati.office@coeptech.ac.in, chandras.elec@coeptech.ac.in, chiefrector@coeptech.ac.in, dean.engineering@coeptech.ac.in, dean.shm@coeptech.ac.in, director-research@coeptech.ac.in, director.exam@coeptech.ac.in, director.students@coeptech.ac.in, fao@coeptech.ac.in, gdk.hostel@coeptech.ac.in, head.snip@coeptech.ac.in, head.sres@coeptech.ac.in, hod.appsci@coeptech.ac.in, hod.meta@coeptech.ac.in, hod.mfg@coeptech.ac.in, hod.mme@coeptech.ac.in, hostel@coeptech.ac.in, ksg.hostel@coeptech.ac.in, kss.office@coeptech.ac.in, nmm.civil@coeptech.ac.in, pfv.meta@coeptech.ac.in, pps.extc@coeptech.ac.in, registrar@coeptech.ac.in, sonawanehp21.mech@coeptech.ac.in, sso.mech@coeptech.ac.in, takalkaras21.mfg@coeptech.ac.in, vc@coeptech.ac.in",https://www.coep.org.in
Wadia College,"Aftab Alam Controller of, Bheemsha Arya, Debabrata Das Professor, Leena Chandran Wadia Senior, Suresh Ramaswwamyreddy, ess Modern Education Society, ess of the Principal, ess of the Trust, essal Cell Anti Ragging, essal Cell Grievance Redressal, is available on the","director.admin@bmsce.ac.in, principal@bmsce.ac.in",https://www.wadiacollege.edu.in
Govt. Vidharbha Institute of Science,"ESS RESIDENTIAL ADDRESS DISTRICT, Kukadi Education Society, Santosh Chavan, Santosh Pawar, Sidhharth Kane Shri Suresh, Vijay Bhatkar Shri",,nan
ICT Mumbai (UDCT),"Aniruddha Bhalchandra Pandit, ICT Mumbai and Padma","ab.pandit@ictmumbai.edu.in, ar.acad@staff.ictmumbai.edu.in, ar.adm@staff.ictmumbai.edu.in, ar.athalye@ictmumbai.edu.in, ar.fin@staff.ictmumbai.edu.in, jb.joshi@ictmumbai.edu.in, stores@staff.ictmumbai.edu.in, vc@ictmumbai.edu.in",https://www.ictmumbai.edu.in
Pune University Dept. of Chemistry,"Angshuman Nag, Anindya Datta, Baloji Naik Prof, Deepa Khushalani, Kiran Kumar Sharma, Manjusha Shelke, Pravin Ingole, Sathyapal Nair Prof, Satishchandra Ogale, Shivram Garje, Umesh Kshirsagar, Vijayamohanan Pillai, essor Santosh",,https://www.unipune.ac.in
VPM's B N Bandodkar College,"Desk Prof, Dhiraj Dhotre, Sanjay Deshmukh, Sanjay Deshmukh Former Vice, Vinda Manjramkar, Vinda Manjramkar Designation, aSinh RaoRane, awn in favors of, essionals and socially responsible, of VPM, ug Administration",,https://www.bnbandodkar.edu.in
Wilson College,"Eric Michael, Jamson Masih click for, Paul Wilson Principal Download, essional Programs Study Abroad, of Graduate Education Programs, of Graduate Recruitment and",,https://www.wilsoncollege.edu
HR College of Commerce,"Arunkumar Gopu, CDSIMER Dr, Dinesh Kulkarni, IQAC Dr, Jasbir Kaur Sodi is, Madhuri Tikam is an, Navin Mukesh Punjabi Vice, Neha Jagtiani, PA NUMBER, PREM KUMAR, Pramod Naik, Pushpa Sarkar, Sodi has contributed extensively, Sodi is, Sudipto Bhattacharya, Sunil More, Truptha Shankar, Udaya Kumar Reddy, essional working actively in, essor and Vice Principal, iven by, of Lifelong Learning and","cfo@dsu.edu.in, chairman-ae@dsu.edu.in, chairperson-air@dsu.edu.in, coe@dsu.edu.in, dean-cee@dsu.edu.in, dean-cjmc@dsu.edu.in, dean-engg@dsu.edu.in, dean-law@dsu.edu.in, dean-lifesciences@dsu.edu.in, dean-research@dsu.edu.in, dean-sahs@dsu.edu.in, dean-sca@dsu.edu.in, dean-scms@dsu.edu.in, dinesh-des@dsu.edu.in, director-iqac@dsu.edu.in, nagraj-ae@dsu.edu.in, ppl-nursing@dsu.edu.in, ppl-pharmacy@dsu.edu.in, ppl-physio@dsu.edu.in, principal.cdsimer@dsu.edu.in, principal.sahs@dsu.edu.in, pvc-prakash@dsu.edu.in, registrar@dsu.edu.in, vicechancellor@dsu.edu.in",https://www.hrcollege.edu
Mithibai College of Arts,"Gayatri Tajne, Gayatri Tajne in her, Kavita Lute compered the, Meenakshi Wasnik gave introduction, Meenakshi Wasnik was the, Pratibha Siriya, Shailesh Bahadure, Tarangini Gunta, Usha Sakure, Usha Sakure gave the, Usha Sakure in her, components spanning students, ess The Session, ess the growing need","aparna@rmi.rizvi.edu.in, librarian@ssasc.edu.in, library@bncp.ac.in",https://www.mithibai.ac.in
KC College,"Aashu Vajpai, Ashis Nandy, Hemlata Bagla, Mridula Gupta, Nandini Sengupta, Pratibha Shah, Pratiksha Kadam, Radhakrishnan pillai, Rajesh Samant, Rajitha Satish, Rakhi Mehta, Ritika Pathak, Sakharam Muley, Samdhong Rinpoche, Satish Kolte, Shyam Pakhare, Suvarna Sharma, Vidhi Agrawal, at the national level, being awarded the best, eam of delivering quality, eams that for the, ess the needs of, essional pursuits, it organization with","askmeanything@kccollege.edu.in, office@kccollege.edu.in, studentsupport@kccollege.edu.in",https://www.kccollege.edu.in
Sophia College for Women,"AJAYKUMAR BHIMRAO PATIL ASSOCIATE, AMIT GOSWAMI ASSOCIATE, ANATH MAHAVIDYALAYA, ARCHANA JAIN ASSOCIATE PROFESSOR, EKKURTI VENKATESWARLU ASSISTANT PROFESSOR, ESSOR SHIKSHA, GAJANAN ANANTA DEOKAR ASSOCIATE, HAJI MOHD DAWOOD SHARIEFF, KESHAV RAMBHAO MORE ASSISTANT, PARIMAL MANDAL ASSISTANT PROFESSOR, POONAM GARG ASSOCIATE PROFESSOR, PRAKASH SINGH ASSISTANT PROFESSOR, RISHI RAJ ASSOCIATE PROFESSOR, SACHCHIDANAND SNEHI ASSOCIATE PROFESSOR, SHEOJEE SINGH ASSOCIATE PROFESSOR, SUNDAR NARAYAN JHA ASSOCIATE, TREVOR ALLIS ASSOCIATE PROFESSOR, his times took","admin@sophiacollege.edu.in, principal@sophiacollege.edu.in, vparts@sophiacollege.edu.in, vpscience@sophiacollege.edu.in, webadmin@sophiacollege.edu.in",https://www.sophiacollegemumbai.com
Ramnarain Ruia College,"Anupama Mujumdar, Anushree Lokur, Arjun Kharat, Ashwini Deshpande, ESS OF THE TRUST, ESS OF THE VICE, Gajanan Wader, Gajanan Wader Address, Gajanan Wader Principal Ex, Higher Education Konkan Region, Himani Chaukar, Kamini Donde, Keshav Tupe, Leena Kedare, Nominee Dr, Pillai Institute of Management, Pradeep Waghmare, Pravinchandra Bisht, Principal Name, Principal Nominee Dr, Sachin Palekar, Sandeep Joshi Principal, Sangeeta Kamat, Sasikumar Menon, Sujata Suvarnapatki Dr, Sunil Shankhadarwar, Urmila Moon, Vaibhavi Palsule, Vaishali Dabke, ai Charitable Trust",pcacs@mes.ac.in,https://www.ruiacollege.edu
Vaze Kelkar College,"ESS Kelkar Education Trust, Education drives out ignorance, Kiran Suresh Gaude, Monday to Saturday, Rajesh Bhatikar handled the, eam come true of",,https://www.vazekelkarcollege.org
SP College Pune,"Avinash Moharil, Avinash Moharil Principal, Avinash Moharil View Post, Mahila Mahavidyalaya Amravati Apr, Pravin Ranasure, Sunita Jadhav, Vidya Avachat, essionals equipped with knowledge, essor Mahila Mahavidyalaya, of Mahila Mahavidyalaya",,https://www.spcollege.ac.in
Modern College of Arts Pune,"Ashish Sartape, Dushyant Nimabalkar Physical Education, Nivedita Gajanan Ekbote, Nivedita Gajanan Ekbote Modern, Nivedita Gajanan Ekbote Principal, Nivedita Gajanan Ekbote Prof, Nivedita Gajanan Ekbote is, Photo Prof, Varsha Bapat View Post, ess for Correspondence, iles Placements Hostel Facilities","dascommercesf@moderncollegepune.edu.in, hodenglish@moderncollegepune.edu.in",https://www.moderncollegepune.edu.in
Abasaheb Garware College,"Faiz kurne Inamdar, Farzana Shaikh, Gauri Devasthali, Gupta Shrikant, Kamble Siddarth, Karuna Pardeshi agccomp, Katikar Anand, Miss Gore, Ranpicee Rajani Ph, Ravindrasingh Pardeshi Ph, Sanjay Zagade, Sulbha Patole Ph, Varsha Todmal, ess complaints of Sexual",ombudsperson@pune.nicmar.ac.in,https://www.agcollege.ac.in
Brihan Maharashtra College,"Deepak Poudel Visiting Hours, ess for XI standard, ess of Brihan Maharashtra",,https://www.bmcc.ac.in
