"name","phone","district","state"
"Sri Ramakrishna College of Arts","0422-2680620","Coimbatore","Tamil Nadu"
"Womens Christian College","044-28274694","Chennai","Tamil Nadu"
"IIT Madras","044-22578000","Chennai","Tamil Nadu"
"Anna University","044-22357004","Chennai","Tamil Nadu"
"University of Madras","044-25399422","Chennai","Tamil Nadu"
"Pachaiyappa's College","044-26219500","Chennai","Tamil Nadu"
"Government Arts College Chennai","044-25363552","Chennai","Tamil Nadu"
"Queen Mary's College","044-28362936","Chennai","Tamil Nadu"
"Lady Doak College","0452-2530527","Madurai","Tamil Nadu"
"American College Madurai","0452-2530070","Madurai","Tamil Nadu"
"Madurai Kamaraj University College","0452-2458462","Madurai","Tamil Nadu"
"Thiagarajar College","0452-2312136","Madurai","Tamil Nadu"
"Sri Krishna College of Engineering","0422-2678001","Coimbatore","Tamil Nadu"
"Kumaraguru College of Technology","0422-2661100","Coimbatore","Tamil Nadu"
"Kongu Engineering College","04294-226000","Erode","Tamil Nadu"
"Salem College","0427-2230032","Salem","Tamil Nadu"
"Periyar University College","0427-2345600","Salem","Tamil Nadu"
"Bishop Heber College","0431-2200001","Tiruchirappalli","Tamil Nadu"
"National College Tiruchirappalli","0431-2461105","Tiruchirappalli","Tamil Nadu"
"Bharathidasan University College","0431-2407070","Tiruchirappalli","Tamil Nadu"
"Jamal Mohamed College","0431-2340135","Tiruchirappalli","Tamil Nadu"
"Holy Cross College","0431-2769090","Tiruchirappalli","Tamil Nadu"
"Sathyabama Institute of Science","9940058263","Chennai","Tamil Nadu"
"Saveetha Engineering College","9120893990273720","Chennai","Tamil Nadu"
"Sri Sairam Engineering College","4422512111","Chennai","Tamil Nadu"
"Vel Tech University","18002127669","Chennai","Tamil Nadu"
"SSN College of Engineering","044-27469700","Chennai","Tamil Nadu"
"Ethiraj College for Women","044-28283919","Chennai","Tamil Nadu"
"Dr. Ambedkar Govt. Arts College","044-25361731","Chennai","Tamil Nadu"
"Govt. Arts College Nandanam","044-24330200","Chennai","Tamil Nadu"
"Rajalakshmi Engineering College","044-37181000","Chennai","Tamil Nadu"
"Govt. Arts College Coimbatore","0422-2303890","Coimbatore","Tamil Nadu"
