name,state,district,type,board,student_count,company_size_category,website,principal_name,email,phone
Osmania Medical College,Telangana,Hyderabad,Govt,,2800,Large,osmaniamedicalcollege.org,,_hyd-ts@nic.in,04027682363
Deccan College Of Medical Sciences,Telangana,Hyderabad,Private,,1200,Medium,dcmshyderabad.webnode.in,,,04023310656
Hyderabad Institute Of Technology,Telangana,Hyderabad,Private,,2600,Large,hitam.org,,ao@mgit.ac.in,9052223769
Chaitanya Bharathi Institute,Telangana,Hyderabad,Aided,,3100,Large,cbit.ac.in,,_enquiry@cbit.ac.in,9849466587
Gokaraju Rangaraju Inst Of Engg,Telangana,Hyderabad,Private,,3400,Large,griet.ac.in,,_civil@griet.ac.in,04023044901
Kg Reddy College Of Engineering,Telangana,Hyderabad,Private,,2100,Large,kgr.ac.in,,principal@kgr.ac.in,9000633008
Mahatma Gandhi Institute Of Technology,Telangana,Hyderabad,Private,,2800,Large,mgit.ac.in,,ao@mgit.ac.in,04023044914
Sreenidhi Institute Of Science,Telangana,Hyderabad,Private,,3200,Large,sreenidhi.edu.in,,info@sreenidhi.edu.in,04027165554
Govt. Degree College Nizamabad,Telangana,Nizamabad,Govt,,1600,Large,,,cdoeadm2025@manuu.edu.in,08462220423
Govt. Degree College Karimnagar,Telangana,Karimnagar,Govt,,1400,Medium,,,cdoeadm2025@manuu.edu.in,08782221034
Satavahana University College,Telangana,Karimnagar,Govt,,2200,Large,satavahana.ac.in,,coe@satavahana.ac.in,08782226583
Kakatiya Medical College,Telangana,Warangal,Govt,,1800,Large,kmcwarangal.ac.in,,director.pgadmissions@kakatiya.ac.in,08702439033
Warangal Institute Of Technology,Telangana,Warangal,Private,,2100,Large,wits.ac.in,,_nitwsiemenscoe@nitw.ac.in,08702471200
Govt. Degree College Mahbubnagar,Telangana,Mahbubnagar,Govt,,1200,Medium,,,,08542224122
Palamuru University College,Telangana,Mahbubnagar,Govt,,1900,Large,palamuruuniversity.ac.in,,s@crsu.ac.in,08542277144
Govt. Degree College Khammam,Telangana,Khammam,Govt,,1500,Medium,,,,08742222417
Telangana University College,Telangana,Nizamabad,Govt,,2400,Large,telanganauniversity.ac.in,,principaltusc@telanganauniversity.ac.in,08462221501
Lords Institute Of Engineering,Telangana,Hyderabad,Private,,2200,Large,lords.ac.in,,abdulrais@lords.ac.in,6309012442
Cvr College Of Engineering,Telangana,Hyderabad,Private,,2600,Large,cvr.ac.in,,g.sreelakshmi@cvr.ac.in,04041525300
Tkr College Of Engineering,Telangana,Hyderabad,Private,,1900,Large,tkrcet.ac.in,,coe@tkrcet.ac.in,9849477550
Govt. Degree College Adilabad,Telangana,Adilabad,Govt,,1100,Medium,,,prl-gdc-adb-ce@telangana.gov.in,08732225455
Osmania University Law College,Telangana,Hyderabad,Govt,,1400,Medium,osmania.ac.in,,lawcollege@osmania.ac.in,04027682363
St. Mary'S College For Women,Telangana,Hyderabad,Aided,,1200,Medium,stmaryscollegehyd.com,,,04023232892
Bhavans Vivekananda College,Telangana,Hyderabad,Aided,,1600,Large,bvvcollege.org,,bvc@bhavansvc.ac.in,04027667900
Cmr College Of Engineering,Telangana,Hyderabad,Private,,2800,Large,cmrcet.ac.in,,admissions@cmr.edu.in,0020569204672084
Vardhaman College Of Engineering,Telangana,Hyderabad,Private,,3100,Large,vardhaman.org,,dap@jntuh.ac.in,8688901557
Aurora Engineering College,Telangana,Hyderabad,Private,,2200,Large,aec.edu.in,,accounts@aurora.ac.in,7036076661
St. Xavier'S College,Maharashtra,Mumbai,Aided,,3500,Large,xaviers.edu,,info@sxca.edu.in,02222620661
Fergusson College,Maharashtra,Pune,Aided,,4200,Large,fergusson.edu,,,02067656000
Symbiosis College Of Arts And Commerce,Maharashtra,Pune,Private,,2800,Large,symbiosiscollege.edu.in,,contact@symbiosiscollege.edu.in,02025653903
Elphinstone College,Maharashtra,Mumbai,Govt,,3100,Large,elphinstone.ac.in,,admission@iscm.ac.in,02222049237
Ruparel College,Maharashtra,Mumbai,Aided,,2900,Large,ruparelcollege.org,,bhaumikshah.mca@charusat.ac.in,02224305799
K.J. Somaiya College Of Science,Maharashtra,Mumbai,Private,,3400,Large,kjssc.somaiya.edu,,,02267283000
Coep Technological University,Maharashtra,Pune,Govt,,5600,Large,coep.org.in,,abl.mfg@coeptech.ac.in,02025507002
Wadia College,Maharashtra,Pune,Aided,,1600,Large,wadiacollege.edu.in,,director.admin@bmsce.ac.in,02026143928
Govt. Vidharbha Institute Of Science,Maharashtra,Amravati,Govt,,2200,Large,,,,07212662466
Ict Mumbai (Udct),Maharashtra,Mumbai,Govt,,1800,Large,ictmumbai.edu.in,,ab.pandit@ictmumbai.edu.in,02233612222
Pune University Dept. Of Chemistry,Maharashtra,Pune,Govt,,1200,Medium,unipune.ac.in,,,02025601099
Vpm'S B N Bandodkar College,Maharashtra,Thane,Aided,,2100,Large,bnbandodkar.edu.in,,,02225394019
Wilson College,Maharashtra,Mumbai,Aided,,3200,Large,wilsoncollege.edu,,,02223663001
Hr College Of Commerce,Maharashtra,Mumbai,Aided,,4100,Large,hrcollege.edu,,cfo@dsu.edu.in,9326306348
Mithibai College Of Arts,Maharashtra,Mumbai,Aided,,5200,Large,mithibai.ac.in,,aparna@rmi.rizvi.edu.in,02226608000
Kc College,Maharashtra,Mumbai,Aided,,3600,Large,kccollege.edu.in,,askmeanything@kccollege.edu.in,9156094565
Sophia College For Women,Maharashtra,Mumbai,Aided,,2100,Large,sophiacollegemumbai.com,,admin@sophiacollege.edu.in,02222820823
Ramnarain Ruia College,Maharashtra,Mumbai,Aided,,3100,Large,ruiacollege.edu,,pcacs@mes.ac.in,02269186201
Vaze Kelkar College,Maharashtra,Mumbai,Aided,,2800,Large,vazekelkarcollege.org,,,02224952882
Sp College Pune,Maharashtra,Pune,Govt,,4600,Large,spcollege.ac.in,,,02972296296
Modern College Of Arts Pune,Maharashtra,Pune,Aided,,5100,Large,moderncollegepune.edu.in,,dascommercesf@moderncollegepune.edu.in,2025535468
Abasaheb Garware College,Maharashtra,Pune,Aided,,3900,Large,agcollege.ac.in,,ombudsperson@pune.nicmar.ac.in,02025656840
Brihan Maharashtra College,Maharashtra,Pune,Aided,,2700,Large,bmcc.ac.in,,,2067656200
Sir Parashurambhau College,Maharashtra,Pune,Aided,,3400,Large,spcollege.ac.in,,addressprincipal@spcollegepune.ac.in,02972296296
Govt. College Of Engineering Pune,Maharashtra,Pune,Govt,,4800,Large,gcoep.ac.in,,aaglave.saarika@gppune.ac.in,02025507167
Visvesvaraya Nit Nagpur,Maharashtra,Nagpur,Govt,,5400,Large,vnit.ac.in,Ess Of Vnit Visvesvaraya,deanacd@vnit.ac.in,07122223230
Govt. Medical College Nagpur,Maharashtra,Nagpur,Govt,,1800,Large,gmcnagpur.com,,,07122701133
Hislop College,Maharashtra,Nagpur,Aided,,3200,Large,hislopcollege.ac.in,,info@hislopcollege.ac.in,8275490446
Dr. Ambedkar College Nagpur,Maharashtra,Nagpur,Aided,,2400,Large,drambedkarcollege.ac.in,,academicsection@dbatu.ac.in,07122726271
Walchand College Of Engineering,Maharashtra,Sangli,Aided,,3600,Large,walchandsangli.ac.in,,,02332247243
Shivaji University College,Maharashtra,Kolhapur,Govt,,2800,Large,unishivaji.ac.in,,accountssection@shivaji.du.ac.in,02312609000
Dy Patil College Of Engineering,Maharashtra,Pune,Private,,3900,Large,dypvp.edu.in,,_jobs@dypcoeakurdi.ac.in,02067106000
Symbiosis Institute Of Technology,Maharashtra,Pune,Private,,2600,Large,sit.edu.in,,accounts@sithyd.siu.edu.in,02028116200
Flame University,Maharashtra,Pune,Private,,1800,Large,flame.edu.in,,enquiry@flame.edu.in,18002094567
Mit College Of Engineering Pune,Maharashtra,Pune,Private,,4200,Large,mitcoe.edu.in,,admissions.mitsoe@mituniversity.edu.in,02030273400
Bharati Vidyapeeth College Of Engg,Maharashtra,Mumbai,Private,,3100,Large,bvcoem.edu.in,,dsbankar@bvucoep.edu.in,02225139610
Somaiya Vidyavihar University,Maharashtra,Mumbai,Private,,4600,Large,somaiya.edu,,,02226728301
Nmims University Mumbai,Maharashtra,Mumbai,Private,,5200,Large,nmims.edu,Ess Svkm Essional Organizations,,08040855555
Kishinchand Chellaram College,Maharashtra,Mumbai,Aided,,3800,Large,kccollege.edu.in,,info@kclawhsnc.edu.in,9156094565
Nowrosjee Wadia College,Maharashtra,Pune,Aided,,2200,Large,wadiacollege.edu.in,,mayurgohad@nowrosjeewadiacollege.edu.in,02026143928
Dharampeth College Nagpur,Maharashtra,Nagpur,Govt,,2100,Large,,,admin@rsmdacc.edu.in,07122557300
Vidyanagari Arts Commerce College,Maharashtra,Mumbai,Govt,,2400,Large,mu.ac.in,,,0222708700
Christ University,Karnataka,Bengaluru,Private,,6000,Large,christuniversity.in,,bmpmc.librarian@bldedu.ac.in,08040129100
Bangalore University College,Karnataka,Bengaluru,Govt,,3800,Large,bangaloreuniversity.ac.in,,admissions@alliance.edu.in,08022961100
Mount Carmel College,Karnataka,Bengaluru,Aided,,3200,Large,mountcarmelcollegeblr.ac.in,,admission@mccblr.edu.in,08022261157
St. Joseph'S College Of Commerce,Karnataka,Bengaluru,Aided,,2700,Large,sjcc.edu.in,,libinfo@sjcc.edu.in,08022212010
Rv College Of Engineering,Karnataka,Bengaluru,Private,,5500,Large,rvce.edu.in,,principal@rvce.edu.in,08067178001
Mysore University Constituent College,Karnataka,Mysuru,Govt,,4100,Large,uni-mysore.ac.in,,ajaykumar@ycm.uni-mysore.ac.in,08212419901
Manipal College Of Arts,Karnataka,Udupi,Private,,2500,Large,manipal.edu,,admission.smims@smu.edu.in,08202922073
Govt. First Grade College Gulbarga,Karnataka,Kalaburagi,Govt,,1900,Large,,,ksoustudycentre@spcputtur.ac.in,08472263234
Bms College Of Engineering,Karnataka,Bengaluru,Aided,,4700,Large,bmsce.ac.in,,basavarajugm.office@bmsce.ac.in,08026622130
Govt. Science College Bengaluru,Karnataka,Bengaluru,Govt,,2300,Large,,,principal@lcechennai.edu.in,08022281723
Jyoti Nivas College,Karnataka,Bengaluru,Aided,,2800,Large,jyotinivascollege.edu.in,,,08025501444
Indian Institute Of Science,Karnataka,Bengaluru,Govt,,3800,Large,iisc.ac.in,,ascdean.ugacad@iisc.ac.in,08022932004
National Law School Of India,Karnataka,Bengaluru,Govt,,800,Medium,nls.ac.in,,admissions.ba@nls.ac.in,08023010000
St. Joseph'S College Bengaluru,Karnataka,Bengaluru,Aided,,3200,Large,sjcollege.ac.in,,christoselvan@sjc.ac.in,08025506424
Bishop Cotton Women'S College,Karnataka,Bengaluru,Aided,,2100,Large,bishopcottonwomenscollege.com,,admissions@bcwclc.edu.in,08025201908
Pes University,Karnataka,Bengaluru,Private,,5600,Large,pes.edu,,admissions@pesce.ac.in,9901812003
Ramaiah Institute Of Technology,Karnataka,Bengaluru,Aided,,4800,Large,msrit.edu,,admissions@msruas.ac.in,08023607902
Dayananda Sagar College,Karnataka,Bengaluru,Private,,4200,Large,dayanandasagar.edu,,asso-dean-admin@dscds.edu.in,9916075170
New Horizon College Of Engineering,Karnataka,Bengaluru,Private,,3600,Large,newhorizonindia.edu,,admin@nhitm.ac.in,9880534935
Reva University,Karnataka,Bengaluru,Private,,4100,Large,reva.edu.in,,admissions@reva.edu.in,8046966966
Alliance University,Karnataka,Bengaluru,Private,,3800,Large,alliance.edu.in,,admissions@alliance.edu.in,8046199000
Govt. Science College Hassan,Karnataka,Hassan,Govt,,1600,Large,,,director-dde@patnauniversity.ac.in,08172268015
Visvesvaraya Technological Univ,Karnataka,Belagavi,Govt,,4200,Large,vtu.ac.in,,dean@sjbsap.edu.in,08312498100
Kle Technological University,Karnataka,Belagavi,Private,,3600,Large,kletech.ac.in,,prochancellor@kletech.ac.in,08362378103
Sdm College Of Engineering,Karnataka,Dharwad,Aided,,2800,Large,sdmcet.ac.in,,principal@sdmcet.ac.in,08362255619
Bvb College Of Engineering,Karnataka,Belagavi,Aided,,3100,Large,bvbcet.ac.in,,bvrit@bvrit.ac.in,08312408022
Jss College Of Arts,Karnataka,Mysuru,Aided,,2600,Large,jsscollegemysore.ac.in,,,08212548337
Maharaja College Mysore,Karnataka,Mysuru,Govt,,2900,Large,maharajacollegemysore.ac.in,,info@mahajana.edu.in,08212523720
Yuvaraja College Mysore,Karnataka,Mysuru,Govt,,2400,Large,,,ajaykumar@ycm.uni-mysore.ac.in,08212548337
Mangalore University College,Karnataka,Mangaluru,Govt,,3200,Large,mangaloreuniversity.ac.in,,principal_niths@nitte.edu.in,9481608909
St. Aloysius College Mangalore,Karnataka,Mangaluru,Aided,,3600,Large,staloysius.edu.in,,joyandsouza@staloysius.edu.in,08244117704
Canara College,Karnataka,Mangaluru,Aided,,2800,Large,canaracollege.ac.in,,info@canara.ac.in,08242496600
Govt. First Grade College Tumkur,Karnataka,Tumakuru,Govt,,1800,Large,,,bentoor@kishkindauniversity.edu.in,08162272004
Siddaganga Institute Of Technology,Karnataka,Tumakuru,Private,,3400,Large,sit.ac.in,,_bc@sit.ac.in,8162282696
Nmkrv College For Women,Karnataka,Bengaluru,Aided,,2600,Large,nmkrv.ac.in,,admissions.nmkrvpu@rvei.edu.in,08026761221
Seshadripuram College,Karnataka,Bengaluru,Aided,,3100,Large,seshadripuram.edu.in,,department.mca@spmcollege.ac.in,08023449234
Cmr Institute Of Technology,Karnataka,Bengaluru,Private,,3200,Large,cmrit.ac.in,,admission@cmrit.ac.in,08028524855
Global Academy Of Technology,Karnataka,Bengaluru,Private,,2800,Large,gat.ac.in,,admissions@gat.ac.in,08028603158
Nitte University College,Karnataka,Mangaluru,Private,,2200,Large,nitte.edu.in,,_deanacademics.nmamit@nitte.edu.in,9108242204300
East West College Of Engineering,Karnataka,Bengaluru,Private,,2400,Large,ewit.edu,,admissions@ewit.edu.in,08028478400
Christ Academy Institute,Karnataka,Bengaluru,Aided,,1900,Large,christacademy.ac.in,,principal@christcollege.ac.in,08046839900
Miranda House,Delhi,Delhi,Govt,,2900,Large,mirandahouse.ac.in,,abhadev.habib@mirandahouse.ac.in,01127667437
St. Stephen'S College,Delhi,Delhi,Aided,,1600,Large,ststephens.edu,,fsradmissions@du.ac.in,01127667271
Lady Shri Ram College For Women,Delhi,Delhi,Govt,,3100,Large,lsr.edu.in,,ao@lsr.edu.in,7827170170
Kirori Mal College,Delhi,Delhi,Govt,,4200,Large,kmc.ac.in,,akhileshbhu86@kmc.du.ac.in,01127667861
Hindu College,Delhi,Delhi,Govt,,2600,Large,hinducollege.ac.in,,,01127667184
Hansraj College,Delhi,Delhi,Govt,,3000,Large,hansrajcollege.ac.in,,baljeetkaur@hrc.du.ac.in,1127667747
Ramjas College,Delhi,Delhi,Govt,,3500,Large,ramjascollege.edu.in,,principal@ramjas.du.ac.in,01127662157
Indraprastha College For Women,Delhi,Delhi,Govt,,2100,Large,ipcollege.ac.in,,dsw@ipu.ac.in,01147008184
Gargi College,Delhi,Delhi,Govt,,2800,Large,gargicollege.in,,b.vaijayanthi@gargi.du.ac.in,01126497697
Jesus And Mary College,Delhi,Delhi,Aided,,1400,Medium,jesusandmarycollege.ac.in,,220415@jmc.du.ac.in,01126104765
Dyal Singh College,Delhi,Delhi,Govt,,3200,Large,dsc.du.ac.in,,alkagupta@dsc.du.ac.in,01124367819
Daulat Ram College,Delhi,Delhi,Govt,,2800,Large,dr.du.ac.in,,darshan@dr.du.ac.in,9821382457
Sri Venkateswara College,Delhi,Delhi,Govt,,3600,Large,svc.ac.in,,acm@svce.ac.in,01124115302
Atma Ram Sanatan Dharma College,Delhi,Delhi,Govt,,4100,Large,arsd.ac.in,,admin@aryabhattacollege.ac.in,01124607600
Motilal Nehru College,Delhi,Delhi,Govt,,3400,Large,mlncollege.ac.in,,amarjeetrathee@mln.du.ac.in,01126115244
Shyam Lal College,Delhi,Delhi,Govt,,3100,Large,shyamlal.du.ac.in,,akjain@shyamlal.du.ac.in,01122326591
Janki Devi Memorial College,Delhi,Delhi,Govt,,2600,Large,jdmcollege.ac.in,,jdmncweb@jdm.du.ac.in,01125452272
Maitreyi College,Delhi,Delhi,Govt,,2400,Large,maitreyi.ac.in,,,01126114555
Maharaja Agrasen College,Delhi,Delhi,Govt,,3800,Large,mac.du.ac.in,,admission@mau.ac.in,01122610563
Acharya Narendra Dev College,Delhi,Delhi,Govt,,2900,Large,andc.ac.in,,abhaypratapsingh@andc.du.ac.in,9839167801
Shaheed Bhagat Singh College,Delhi,Delhi,Govt,,3200,Large,sbsc.ac.in,,,01124604001
Keshav Mahavidyalaya,Delhi,Delhi,Govt,,2100,Large,keshav.du.ac.in,,admission.helpdesk@keshav.du.ac.in,01127663924
Sri Aurobindo College,Delhi,Delhi,Govt,,2800,Large,aurobindo.du.ac.in,,_comm@aurobindo.du.ac.in,1140536164
Bhim Rao Ambedkar College,Delhi,Delhi,Govt,,3100,Large,brac.ac.in,,_dbrau@dbrau.ac.in,01122385823
Kalindi College,Delhi,Delhi,Govt,,2900,Large,kalindi.du.ac.in,,admission_ac@kalindi.du.ac.in,01126493388
Lakshmibai College,Delhi,Delhi,Govt,,2400,Large,lakshmibai.ac.in,,administrationsection@lnipe.edu.in,01125093441
Delhi College Of Arts And Commerce,Delhi,Delhi,Govt,,3400,Large,dcac.du.ac.in,,amit.yadav@dcac.du.ac.in,01127158007
Jamia Millia Islamia,Delhi,Delhi,Govt,,8600,Large,jmi.ac.in,,sknaqvi@jmi.ac.in,01126981717
Jawaharlal Nehru University,Delhi,Delhi,Govt,,6200,Large,jnu.ac.in,,anup.kusal@mail.jnu.ac.in,01126742676
Delhi Technological University,Delhi,Delhi,Govt,,5800,Large,dtu.ac.in,,anshularora@dtu.ac.in,01127871018
Indraprastha Institute Of It,Delhi,Delhi,Govt,,3200,Large,iiitd.ac.in,,admin-academic@iiitd.ac.in,1126907405
Amity University Delhi,Delhi,Delhi,Private,,9400,Large,amity.edu,,nisha@spm.du.ac.in,01204392000
Guru Gobind Singh Indraprastha Uni,Delhi,Delhi,Govt,,7200,Large,ipu.ac.in,,affiliation@ipu.ac.in,01125302140
Lady Irwin College,Delhi,Delhi,Govt,,1800,Large,ladyirwin.edu.in,,sushma.goel@lic.du.ac.in,20911123711222
College Of Vocational Studies,Delhi,Delhi,Govt,,2600,Large,cvs.du.ac.in,,_colleges@admin.du.ac.in,01126160531
Zakir Husain Delhi College,Delhi,Delhi,Govt,,3100,Large,zhdc.ac.in,,admission@zh.du.ac.in,01123239212
Satyawati College,Delhi,Delhi,Govt,,2800,Large,satyawati.du.ac.in,,_accounts@satyawatie.du.ac.in,8368897504
Vivekananda College,Delhi,Delhi,Govt,,2600,Large,vivekananddcollege.ac.in,,anitabakshi@vivekanand.du.ac.in,01127583226
Shivaji College Delhi,Delhi,Delhi,Govt,,2900,Large,shivaji.du.ac.in,,accountssection@shivaji.du.ac.in,01125101010
Loyola College,Tamil Nadu,Chennai,Aided,,5200,Large,loyolacollege.edu,,principal@loyolacollege.ac.in,04428178200
Presidency College,Tamil Nadu,Chennai,Govt,,3100,Large,presidencychennai.ac.in,,admissions@presidency.edu.in,04428512454
Stella Maris College,Tamil Nadu,Chennai,Aided,,3600,Large,stellamariscollege.edu.in,,coe@stellamariscollege.edu.in,04428275567
Psg College Of Arts And Science,Tamil Nadu,Coimbatore,Aided,,4800,Large,psgcas.ac.in,,deanoffice@psgimsr.ac.in,04224391100
Govt. Arts College,Tamil Nadu,Coimbatore,Govt,,2400,Large,,,gack@gackarur.ac.in,04222303890
Madras Christian College,Tamil Nadu,Chennai,Aided,,5900,Large,mcc.edu.in,,director@mccbtsb.edu.in,9444403976
Vellore Institute Of Technology,Tamil Nadu,Vellore,Private,,20000,Large,vit.ac.in,,director.ir@vit.ac.in,0000000020
Annamalai University Constituent Coll,Tamil Nadu,Cuddalore,Govt,,6200,Large,annamalaiuniversity.ac.in,,,04144238259
Sri Ramakrishna College Of Arts,Tamil Nadu,Coimbatore,Private,,2900,Large,srcas.ac.in,,office@srcas.ac.in,04222680620
Womens Christian College,Tamil Nadu,Chennai,Aided,,2700,Large,wcc.edu.in,,info@wcc.edu.in,04428274694
Iit Madras,Tamil Nadu,Chennai,Govt,,8200,Large,iitm.ac.in,,dostoffice@smail.iitm.ac.in,04422578000
Anna University,Tamil Nadu,Chennai,Govt,,6800,Large,annauniv.edu,,,04422357004
University Of Madras,Tamil Nadu,Chennai,Govt,,4200,Large,unom.ac.in,,,04425399422
Pachaiyappa'S College,Tamil Nadu,Chennai,Aided,,4600,Large,pachaiyappascollege.org,,,04426219500
Government Arts College Chennai,Tamil Nadu,Chennai,Govt,,3200,Large,gac.ac.in,Ambedkar Govt Itable Charitable Trust,principal@sias.edu.in,04425363552
Queen Mary'S College,Tamil Nadu,Chennai,Govt,,2800,Large,qmc.ac.in,,coe@queenmaryscollege.edu.in,04428362936
Lady Doak College,Tamil Nadu,Madurai,Aided,,3100,Large,ladydoakcollege.edu.in,,ldcmadurai.btisnet@nic.in,04522530527
American College Madurai,Tamil Nadu,Madurai,Aided,,4200,Large,americancollege.edu.in,,acmdu1881@americancollege.edu.in,04522530070
Madurai Kamaraj University College,Tamil Nadu,Madurai,Govt,,3600,Large,mkuniversity.ac.in,,ddegrievance@mkuniversity.ac.in,04522458462
Thiagarajar College,Tamil Nadu,Madurai,Aided,,3400,Large,tcarts.ac.in,,helpdesk@stcchennai.edu.in,04522312136
Sri Krishna College Of Engineering,Tamil Nadu,Coimbatore,Private,,3800,Large,skcet.ac.in,,19epci024@skcet.ac.in,04222678001
Kumaraguru College Of Technology,Tamil Nadu,Coimbatore,Private,,4100,Large,kct.ac.in,,chaarvika.20is@kct.ac.in,04222661100
Kongu Engineering College,Tamil Nadu,Erode,Aided,,3600,Large,kongu.edu,,gmece@kongu.ac.in,04294226000
Salem College,Tamil Nadu,Salem,Govt,,2400,Large,salemcollege.ac.in,,principal@avsenggcollege.ac.in,04272230032
Periyar University College,Tamil Nadu,Salem,Govt,,2100,Large,periyaruniversity.ac.in,,dme@tn.gov.in,04272345600
Bishop Heber College,Tamil Nadu,Tiruchirappalli,Aided,,3200,Large,bishophebercollegetry.ac.in,,,04312200001
National College Tiruchirappalli,Tamil Nadu,Tiruchirappalli,Aided,,2800,Large,nationalcollegetrichy.ac.in,Prasanna Balaji Senthil Kumar,info@nct.ac.in,04312461105
Bharathidasan University College,Tamil Nadu,Tiruchirappalli,Govt,,2600,Large,bdu.ac.in,Centre For Distance And,admissions@bdu.ac.in,04312407070
Jamal Mohamed College,Tamil Nadu,Tiruchirappalli,Aided,,3100,Large,jmc.edu.in,,,04312340135
Holy Cross College,Tamil Nadu,Tiruchirappalli,Aided,,2900,Large,holycrosstry.edu.in,,office@hcctrichy.ac.in,04312769090
Sathyabama Institute Of Science,Tamil Nadu,Chennai,Private,,6800,Large,sathyabama.ac.in,,bharathi.cse@sathyabama.ac.in,9940058263
Saveetha Engineering College,Tamil Nadu,Chennai,Private,,4200,Large,saveetha.ac.in,,admission@saveetha.ac.in,9120893990273720
Sri Sairam Engineering College,Tamil Nadu,Chennai,Private,,3800,Large,sairam.edu.in,Ess Sri Sai Ram,admissions@sairamce.edu.in,4422512111
Vel Tech University,Tamil Nadu,Chennai,Private,,3200,Large,veltech.edu.in,,firstname.lastname@veltech.edu.in,18002127669
Ssn College Of Engineering,Tamil Nadu,Chennai,Private,,4400,Large,ssn.edu.in,,info@ssn.edu.in,04427469700
Ethiraj College For Women,Tamil Nadu,Chennai,Aided,,2800,Large,ethirajcollege.edu.in,,malini_s@ethirajcollege.edu.in,04428283919
Dr. Ambedkar Govt. Arts College,Tamil Nadu,Chennai,Govt,,2400,Large,ambedkararts.ac.in,,office@dagac.edu.in,04425361731
Govt. Arts College Nandanam,Tamil Nadu,Chennai,Govt,,2200,Large,,Essor Dept Essor Govt,office@dagac.edu.in,04424330200
Rajalakshmi Engineering College,Tamil Nadu,Chennai,Private,,3600,Large,rajalakshmi.org,,admin@rajalakshmi.edu.in,04437181000
Govt. Arts College Coimbatore,Tamil Nadu,Coimbatore,Govt,,2600,Large,,,gack@gackarur.ac.in,04222303890
