name,state,district,type,board,student_count,company_size_category,website,principal_name,email,phone,icp_score,icp_tier
Mit College Of Engineering Pune,Maharashtra,Pune,Private,,4200,Large,mitcoe.edu.in,,admissions@mitwpu.edu.in,02030273400,90,Tier1
Bharati Vidyapeeth College Of Engg,Maharashtra,Mumbai,Private,,3100,Large,bvcoem.edu.in,,principal@bvcoenm.edu.in,02225139610,90,Tier1
Somaiya Vidyavihar University,Maharashtra,Mumbai,Private,,4600,Large,somaiya.edu,,,02226728301,75,Tier1
Nmims University Mumbai,Maharashtra,Mumbai,Private,,5200,Large,nmims.edu,Ess Svkm Essional Organizations,,08040855555,85,Tier1
Kishinchand Chellaram College,Maharashtra,Mumbai,Aided,,3800,Large,kccollege.edu.in,,info@kclawhsnc.edu.in,9156094565,65,Tier2
Nowrosjee Wadia College,Maharashtra,Pune,Aided,,2200,Large,wadiacollege.edu.in,,mayurgohad@nowrosjeewadiacollege.edu.in,02026143928,65,Tier2
Dharampeth College Nagpur,Maharashtra,Nagpur,Govt,,2100,Large,,,admin@rsmdacc.edu.in,07122557300,55,Tier2
Vidyanagari Arts Commerce College,Maharashtra,Mumbai,Govt,,2400,Large,mu.ac.in,,,0222708700,50,Tier2
Christ University,Karnataka,Bengaluru,Private,,6000,Large,christuniversity.in,,registrar@christuniversity.in,08040129100,90,Tier1
Bangalore University College,Karnataka,Bengaluru,Govt,,3800,Large,bangaloreuniversity.ac.in,,registrar@bub.ernet.in,08022961100,65,Tier2
Mount Carmel College,Karnataka,Bengaluru,Aided,,3200,Large,mountcarmelcollegeblr.ac.in,,admission@mccblr.edu.in,08022261157,65,Tier2
St. Joseph'S College Of Commerce,Karnataka,Bengaluru,Aided,,2700,Large,sjcc.edu.in,,libinfo@sjcc.edu.in,08022212010,65,Tier2
Rv College Of Engineering,Karnataka,Bengaluru,Private,,5500,Large,rvce.edu.in,,principal@rvce.edu.in,08067178001,90,Tier1
Mysore University Constituent College,Karnataka,Mysuru,Govt,,4100,Large,uni-mysore.ac.in,,registrar@uni-mysore.ac.in,08212419901,65,Tier2
Manipal College Of Arts,Karnataka,Udupi,Private,,2500,Large,manipal.edu,,admissions@manipal.edu,08202922073,90,Tier1
Govt. First Grade College Gulbarga,Karnataka,Kalaburagi,Govt,,1900,Large,,,ksoustudycentre@spcputtur.ac.in,08472263234,55,Tier2
Bms College Of Engineering,Karnataka,Bengaluru,Aided,,4700,Large,bmsce.ac.in,,principal@bmsce.ac.in,08026622130,65,Tier2
Govt. Science College Bengaluru,Karnataka,Bengaluru,Govt,,2300,Large,,,principal@lcechennai.edu.in,08022281723,55,Tier2
Jyoti Nivas College,Karnataka,Bengaluru,Aided,,2800,Large,jyotinivascollege.edu.in,,,08025501444,50,Tier2
Indian Institute Of Science,Karnataka,Bengaluru,Govt,,3800,Large,iisc.ac.in,,ascdean.ugacad@iisc.ac.in,08022932004,65,Tier2
National Law School Of India,Karnataka,Bengaluru,Govt,,800,Medium,nls.ac.in,,admissions.ba@nls.ac.in,08023010000,65,Tier2
St. Joseph'S College Bengaluru,Karnataka,Bengaluru,Aided,,3200,Large,sjcollege.ac.in,,christoselvan@sjc.ac.in,08025506424,65,Tier2
Bishop Cotton Women'S College,Karnataka,Bengaluru,Aided,,2100,Large,bishopcottonwomenscollege.com,,admissions@bcwclc.edu.in,08025201908,65,Tier2
Pes University,Karnataka,Bengaluru,Private,Deemed university,5600,Large,pes.edu,,admissions@pes.ac.in,08010297297,90,Tier1
Ramaiah Institute Of Technology,Karnataka,Bengaluru,Private Aided,Autonomous,4800,Large,msrit.edu,,principal@msrit.edu,08023607902,90,Tier1
Dayananda Sagar College,Karnataka,Bengaluru,Private,Autonomous,4200,Large,dsce.edu.in,,ppl-dsce@dayanandasagar.edu,08042161704,90,Tier1
New Horizon College Of Engineering,Karnataka,Bengaluru,Private,Autonoumous,3600,Large,newhorizonindia.edu,,admissionsnhce@newhorizonindia.edu,9880534935,90,Tier1
Reva University,Karnataka,Bengaluru,Private,Deemed University,4100,Large,reva.edu.in,,admissions@reva.edu.in,08046966966,90,Tier1
Alliance University,Karnataka,Bengaluru,Private,,3800,Large,alliance.edu.in,,admissions@alliance.edu.in,08046199000,90,Tier1
Govt. Science College Hassan,Karnataka,Hassan,Govt,,1600,Large,gsch.in,,gschassan@gmail.com,08172268248,65,Tier2
Visvesvaraya Technological Univ,Karnataka,Belagavi,Govt,,4200,Large,vtu.ac.in,,register@vtu.ac.in,08312498100,65,Tier2
Kle Technological University,Karnataka,Belagavi,Private,,3600,Large,kletech.ac.in,N.H. Ayachit,prochancellor@kletech.ac.in,08362378101,100,Tier1
Sdm College Of Engineering,Karnataka,Dharwad,Aided,,2800,Large,sdmcet.ac.in,,principal@sdmcet.ac.in,08362255619,65,Tier2
Jss College Of Arts,Karnataka,Mysuru,Aided,,2600,Large,jsscollegemysore.ac.in,M.P. Vijyaendra Swamy,jssautonomous@gmail.com,08212548236,75,Tier1
Maharaja College Mysore,Karnataka,Mysuru,Govt,,2900,Large,maharajacollegemysore.ac.in,B. Nagarajamurthy,principalmaharaja@gmail.com,0821249292,75,Tier1
Yuvaraja College Mysore,Karnataka,Mysuru,Govt,,2400,Large,ycm.uni-mysore.ac.in,B.N. Yashodha,principal@ycm.uni-mysore.ac.in,08212548337,75,Tier1
Mangalore University College,Karnataka,Mangaluru,Govt,,3200,Large,mangaloreuniversity.ac.in,Anasuya Rai,ucmangalore1@gmail.com,9481608909,75,Tier1
St. Aloysius College Mangalore,Karnataka,Mangaluru,Aided,,3600,Large,staloysius.edu.in,Praveen Martis SJ,Principal@staloysius.edu.in,08244117704,75,Tier1
Canara College,Karnataka,Mangaluru,Aided,,2800,Large,canaracollege.ac.in,Premalatha V,info@canara.ac.in,08242496600,75,Tier1
Govt. First Grade College Tumkur,Karnataka,Tumakuru,Govt,,1800,Large,gfgc.karnataka.gov.in,T.S. Shashikumar,gfgctumkur@gmail.com,08162272004,75,Tier1
Siddaganga Institute Of Technology,Karnataka,Tumakuru,Private,,3400,Large,sit.ac.in,S.V. Dinesh,principal@sit.ac.in,8162282696,100,Tier1
Nmkrv College For Women,Karnataka,Bengaluru,Aided,,2600,Large,nmkrv.ac.in,Suchithra R. Nair,principal.nmkrvpu@rvei.edu.in,08026637042,75,Tier1
Seshadripuram College,Karnataka,Bengaluru,Aided,,3100,Large,spmcollege.ac.in,Anandappa Iranmukhadavar,info@spmcollege.ac.in,08022955354,75,Tier1
Cmr Institute Of Technology,Karnataka,Bengaluru,Private,,3200,Large,cmrit.ac.in,Sanjay Jain,principal@cmrit.ac.in,08028524466,100,Tier1
Global Academy Of Technology,Karnataka,Bengaluru,Private,,2800,Large,gat.ac.in,Balakrishna H.B.,info@gat.ac.in,08028603158,100,Tier1
Nitte University College,Karnataka,Mangaluru,Private,,2200,Large,nitte.edu.in,Niranjan N. Chiplunkar,principal_nmamit@nitte.edu.in,08242204300,100,Tier1
East West College Of Engineering,Karnataka,Bengaluru,Private,,2400,Large,ewce.edu.in,Santhosh Kumar G.,principal@ewce.edu.in,08028566115,100,Tier1
Christ Academy Institute,Karnataka,Bengaluru,Aided,,1900,Large,caias.in,Davis Panadan,office@caias.in,08035215155,75,Tier1
Miranda House,Delhi,Delhi,Govt,,2900,Large,mirandahouse.ac.in,Bijayalaxmi Nanda,principal@mirandahouse.ac.in,01127667437,75,Tier1
St. Stephen'S College,Delhi,Delhi,Aided,,1600,Large,ststephens.edu,Jhon Varghese,principal@ststephens.edu,01127667200,75,Tier1
Lady Shri Ram College For Women,Delhi,Delhi,Govt,,3100,Large,lsr.edu.in,Suman Sharma,lsrc@lsr.edu.in,01126434459,75,Tier1
Kirori Mal College,Delhi,Delhi,Govt,,4200,Large,kmc.du.ac.in,Dinesh Khattar,principal@kmc.du.ac.in,01127667939,75,Tier1
Hindu College,Delhi,Delhi,Govt,,2600,Large,hinducollege.ac.in,Anju Srivatava,principal@hinducollege.org,01127667184,75,Tier1
Hansraj College,Delhi,Delhi,Govt,,3000,Large,hansrajcollege.ac.in,Rama,,01127667458,60,Tier2
Ramjas College,Delhi,Delhi,Govt,,3500,Large,ramjascollege.edu.in,Manoj Kumar Khanna,principal@ramjas.du.ac.in,01127667706,75,Tier1
Indraprastha College For Women,Delhi,Delhi,Govt,,2100,Large,ipcollege.ac.in,Poonam Kumria,ipcw@ip.du.ac.in,01123954085,75,Tier1
Gargi College,Delhi,Delhi,Govt,,2800,Large,gargicollege.in,Vandna Luthra,gargicollege@gargi.du.ac.in,01126497697,75,Tier1
Jesus And Mary College,Delhi,Delhi,Aided,,1400,Medium,jesusandmarycollege.ac.in,Molly K.A.,principal@jmc.du.ac.in,01126110041,75,Tier1
Dyal Singh College,Delhi,Delhi,Govt,,3200,Large,dsc.du.ac.in,V.K. Paliwal,principal@dsc.du.ac.in,01124367819,75,Tier1
Daulat Ram College,Delhi,Delhi,Govt,,2800,Large,dr.du.ac.in,Savitha Roy,darshan@dr.du.ac.in,9821382457,75,Tier1
Sri Venkateswara College,Delhi,Delhi,Govt,,3600,Large,svc.ac.in,Chandramani Singh,principal@svc.ac.in,01124112390,75,Tier1
Atma Ram Sanatan Dharma College,Delhi,Delhi,Govt,,4100,Large,arsdcollege.ac.in,Gyantosh Kumar Jha,principal.arsdcollege@gmail.com,01124113436,75,Tier1
Motilal Nehru College,Delhi,Delhi,Govt,,3400,Large,mlncdu.ac.in,Yogeshwar Sharma,motilalnehru64@gmail.com,01126112604,75,Tier1
Shyam Lal College,Delhi,Delhi,Govt,,3100,Large,slc.du.ac.in,Rabi Naryan Kar,slcm@shyamlal.du.ac.in,01135016514,75,Tier1
Janki Devi Memorial College,Delhi,Delhi,Govt,,2600,Large,jdm.ac.in,Swati Pal,principal@jdm.du.ac.in,01149876630,75,Tier1
Maitreyi College,Delhi,Delhi,Govt,,2400,Large,maitreyi.ac.in,Haritma Chopra,maitreyi1967@yahoo.co.in,9311331434,75,Tier1
Maharaja Agrasen College,Delhi,Delhi,Govt,,3800,Large,mac.du.ac.in,Sanjeev Kumar Tiwari,principal@mac.du.ac.in,01122610563,75,Tier1
Acharya Narendra Dev College,Delhi,Delhi,Govt,,2900,Large,andcollege.ac.in,Amit Garg,principal@andc.du.ac.in,9839167801,75,Tier1
Shaheed Bhagat Singh College,Delhi,Delhi,Govt,,3200,Large,sbsc.ac.in,Arun Kumar Attree,principal@sbs.du.ac.in,01126250306,75,Tier1
Keshav Mahavidyalaya,Delhi,Delhi,Govt,,2100,Large,keshav.du.ac.in,Madhu Pruthi,principal@keshav.du.ac.in,01127018805,75,Tier1
Sri Aurobindo College,Delhi,Delhi,Govt,,2800,Large,aurobindo.du.ac.in,Arun Choudhary,principal@aurobindo.du.ac.in,1140536164,75,Tier1
Bhim Rao Ambedkar College,Delhi,Delhi,Govt,,3100,Large,brac.ac.in,,info@drbramdedkarcollege.ac.in,01122814126,65,Tier2
Kalindi College,Delhi,Delhi,Govt,,2900,Large,kalindi.du.ac.in,Prof. Meena Charanda,kalindisampark@kalindi.du.ac.in,011-25787604,75,Tier1
Lakshmibai College,Delhi,Delhi,Govt,,2400,Large,lakshmibai.ac.in,Prof. Lata Sharma ,info@lb.du.ac.in,011-27308598,75,Tier1
Delhi College Of Arts And Commerce,Delhi,Delhi,Govt,,3400,Large,dcac.du.ac.in,Rajiv Chopra,principaldcac@gmail.com,011-24109821,75,Tier1
Jamia Millia Islamia,Delhi,Delhi,Govt,,8600,Large,jmi.ac.in,Dr. Mohd Arshad Khan,registrar@jmi.ac.in,011-26981717,75,Tier1
Jawaharlal Nehru University,Delhi,Delhi,Govt,,6200,Large,jnu.ac.in,Prof. Santishree Dhulipudi Pandit,dr_admin@mail.jnu.ac.in,011-26742617,75,Tier1
Delhi Technological University,Delhi,Delhi,Govt,,5800,Large,dtu.ac.in,Dr. Prateek Sharma,dtumitr@dtu.ac.in,011-27871018,75,Tier1
Indraprastha Institute Of It,Delhi,Delhi,Govt,,3200,Large,iiitd.ac.in,Prof. Gajendra P.S. Raghava,info@iiitd.ac.in,011-26907400,75,Tier1
Amity University Delhi,Delhi,Delhi,Private,,9400,Large,amity.edu, Prof. (Dr.) Balvinder Shukla,admissions@amity.edu,0120-2445252,100,Tier1
Guru Gobind Singh Indraprastha Uni,Delhi,Delhi,Govt,,7200,Large,ipu.ac.in,Padma Shri Dr. Mahesh Verma,mail@ipu.ac.in,011-25302170,75,Tier1
Lady Irwin College,Delhi,Delhi,Govt,,1800,Large,ladyirwin.edu.in,Prof. Neelima Asthana,director@lic.du.ac.in,011-23323257,75,Tier1
College Of Vocational Studies,Delhi,Delhi,Govt,,2600,Large,cvs.du.ac.in,Professor Shiv Kumar Sahdev,cvs.edu@cvs.du.ac.in,011-29258544,75,Tier1
Zakir Husain Delhi College,Delhi,Delhi,Govt,,3100,Large,zhdc.ac.in,Prof. Narendra Singh,zhdc@zh.du.ac.in,011-23232218,75,Tier1
Satyawati College,Delhi,Delhi,Govt,,2800,Large,satyawati.du.ac.in,Prof. Subhash Kumar Singh,principal@satyawati.du.ac.in,011-27219570,75,Tier1
Vivekananda College,Delhi,Delhi,Govt,,2600,Large,vivekananddcollege.ac.in,Prof. Pinki Maurya,vivac2008@vivekanand.du.ac.in,011-22150100,75,Tier1
Shivaji College Delhi,Delhi,Delhi,Govt,,2900,Large,shivaji.du.ac.in,Prof. Virender Bhardwaj,shivajicollege.ac@gmail.com,011-25116644,75,Tier1
Loyola College,Tamil Nadu,Chennai,Aided,,5200,Large,loyolacollege.edu,A. Louis Arockiaraj SJ,enquiry.adm@loyolacollege.edu,044-28178200,75,Tier1
Presidency College,Tamil Nadu,Chennai,Govt,,3100,Large,presidencychennai.ac.in,Dr.R.Raman,contactus@pcc.ac.in,044-28544899,75,Tier1
Stella Maris College,Tamil Nadu,Chennai,Aided,,3600,Large,stellamariscollege.edu.in,Dr. Sr. Stella Mary fmm,principal@stellamariscollege.edu.in,044-28111987,75,Tier1
Psg College Of Arts And Science,Tamil Nadu,Coimbatore,Aided,,4800,Large,psgcas.ac.in,Dr. M. Jayanthi,principal@psgcas.ac.in,0422-4303300,75,Tier1
Govt. Arts College,Tamil Nadu,Coimbatore,Govt,,2400,Large,,Dr. J. PREMALATHA,tngasa.support@gmail.com,0422-2221251,65,Tier2
Madras Christian College,Tamil Nadu,Chennai,Aided,,5900,Large,mcc.edu.in,Dr. Paul Wilson,principal@mcc.edu.in,044-22390675,75,Tier1
Vellore Institute Of Technology,Tamil Nadu,Vellore,Private,,20000,Large,vit.ac.in,Dr. G. Viswanathan,info@vit.ac.in,0416-2243091,100,Tier1
Annamalai University Constituent Coll,Tamil Nadu,Cuddalore,Govt,,6200,Large,annamalaiuniversity.ac.in,Rajendra Vishwanath Arlekar,aucc@annamalaiuniversity.ac.in,04144-238282,75,Tier1
Sri Ramakrishna College Of Arts,Tamil Nadu,Coimbatore,Private,,2900,Large,srcas.ac.in,Dr. B.L Shivakumar,office@srcas.ac.in,0422-2562788,100,Tier1
Womens Christian College,Tamil Nadu,Chennai,Aided,,2700,Large,wcc.edu.in,Dr. Lilian I Jasper,info@wcc.edu.in,044-28275926,75,Tier1
Iit Madras,Tamil Nadu,Chennai,Govt,,8200,Large,iitm.ac.in,Prof. V. Kamakoti,registrar@iitm.ac.in,044-22578000,75,Tier1
Anna University,Tamil Nadu,Chennai,Govt,,6800,Large,annauniv.edu,Rajendra Vishwanath Arlekar,registrar@annauniv.edu,044-22357004,75,Tier1
University Of Madras,Tamil Nadu,Chennai,Govt,,4200,Large,unom.ac.in,Prof. Dr. S. Gowri,registrar@unom.ac.in,044-25399422,75,Tier1
